comment_id,season,match_id,match_name,home_team,away_team,current_innings,innings_id,over,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,batsman2_id,batsman2_name,batsman2_runs,batsman2_balls,bowler2_id,bowler2_name,bowler2_overs,bowler2_maidens,bowler2_runs,bowler2_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,text,preText,postText
120,2022,1304047,CSK v KKR,CSK,KKR,CSK,1,1,1,0,"Yadav to Gaikwad, no run",False,False,False,1060380,Ruturaj Gaikwad,0,2,376116,Umesh Yadav,0.1,0,1,0,379140,Devon Conway,0,0,,,,,,,,,,,,,False,beaten as he has a wild swing at this full delivery that's moving away,<p>There's a wide slip in place btw</p>,
110,2022,1304047,CSK v KKR,CSK,KKR,CSK,1,1,1,1,"Yadav to Gaikwad, 1 no ball",False,False,True,1060380,Ruturaj Gaikwad,0,1,376116,Umesh Yadav,0.0,0,1,0,379140,Devon Conway,0,0,,,,,,,,,,,,,False,"starts with a zippy back of length delivery that thuds into Gaikwad's thigh pad as he hops back to defend. But hey, Umesh has overstepped and we'll have a <strong>free-hit immediately.</strong>","<p><b>7.28pm </b> Gaikwad and Conway are the openers for CSK. Gaikwad is last year's orange cap holder. He'll take strike. Umesh Yadav with the new ball. <br> <br></p><p>Neev says: ""CSK's batting depth fascinates me. Having Jaddu at 5, Dhoni at 6, Bravo at 7, Dube at 8, Santner at 9, even Milne is a more than handy batter, and having him at 10 further increases the depth."" <br> <br></p><p>KKR are a brand-new team in many ways, with a new captain and new men in key positions. <a href=""https://www.espncricinfo.com/story/ipl-2022-team-preview-kolkata-knight-riders-bank-on-iyer-power-1306865"">Iyer Power</a>, though, could be key for them. <br> <br></p><p>Those of you in the USA can watch today's action <a href=""https://www.espn.com/watch/player/_/eventCalendarId/100086703/country/us/redirected/true#bucketId=23396"">live on ESPN+</a></b> <BR> <BR></p><p>MS Dhoni isn't the captain of CSK anymore, after leading the team seemingly forever. Here are <a href=""https://www.espncricinfo.com/story/ipl-2022-csk-the-captain-and-his-coups-five-times-ms-dhoni-scripted-unexpected-wins-for-chennai-super-kings-1307257"">five magical moves</a> from the man, in the IPL, as picked out by Deivarayan Muthu. <BR> <BR></p><p>How will <a href=""https://www.espncricinfo.com/story/ipl-2022-chennai-super-kings-absence-of-deepak-chahar-could-give-jadeja-led-csk-a-selection-headache-1306603"">Deepak Chahar's absence</a>, at least in the initial phase of the IPL, affect CSK? <BR> <BR></p><p>Skand : ""Mind your words Shashank, don't use the term 'both wicketkeepers'. Baba Indrajith is a wicketkeeper too."" -- Ah, Skand. Of course. I've already got a earful from Deiva Muthu :) <BR> <BR></p><p><b>7.10pm </b> In between the toss and start time, the BCCI has held a small felicitation function for gold-winning Olympian <strong>Neeraj Chopra</strong>. He has been awarded a prize money of INR 1 crore. Boxer <strong>Lovlia Borgohain</strong> the bronze medallist gets INR 25 lakhs. The men's hockey team gets a combined INR 1 crore. <strong>Manpreet Singh</strong>, the captain, picks up the cheque from Sourav Ganguly. <BR. <BR></p><p>Azweer: ""Ruturaj and CSK fans mind voice. ""Miss you Faf"""" <BR> <BR></p><p>CSK playing three New Zealanders in their XI. Interesting to see KKR playing both their keepers Sheldon Jackson and Sam Billings. <BR> <BR></p><p>The XIs: <BR> <BR></p><p><strong>KKR:</strong> Venkatesh Iyer, Rahane, Shreyas Iyer (capt), Rana, Billings, Russell, Narine, Jackson (wk), Umesh, Mavi, Chakravarthy <BR> <BR></p><p><strong>CSK:</strong> Gaikwad, Conway, Uthappa, Rayudu, Jadeja (capt), Dhoni (wk), Dube, Santner, Bravo, Milne, Deshpande <BR> <BR></p><p>It's toss time. Heads says Shreyas Iyer, heads it is. <b> KKR will bowl first. </b> ""I'm super excited, great honour to don the [KKR] jersey,"" he says. ""This is a belter to bat down, dew could come in later. That's why we're bowling. </p><p><strong>Just three overseas players for KKR tonight: Billings, Russell & Narine.</strong></p><p>""Big shoes to fill, happy and excited about the new role,"" says CSK's Jadeja. ""Preparation been good, hopefully it'll come good. </p><p><strong>CSK's four foreign players: Conway, Bravo, Milne & Santner are the four overseas.</p><p></strong></p>
<div class=""embedded-media-card"" data-id=""1101"" data-source=""livestream"" data-url=""https://livestream.com/accounts/6115179/events/10275872""></div>
<p><strong>6.50pm</strong> As we get ready for toss, here's one for you: What's MS Dhoni's record against Varun Chakravarthy like - good or bad? You can <a href=""https://www.espncricinfo.com/ask/cricket-qna/What-is-Dhoni-record-against-Varun-CV&tournament=allt20"">check this</a>, and many more stats, on <b>Maruti Suzuki ASKcricinfo</b>.</p><p>Sree: ""Is it possible to convert the 5 match T20I series against South Africa in June into a each face each twice tri series adding a CSK team to it? I don't want to see Dhoni retiring without a farewell match in Chennai. ""</p><p>MahiForLife: ""I only partially agree with CricDude.One of Milne/Jordan (maybe both today) will always start, because CSK and Dhoni like their foreign fast bowlers. Especially now that Chahar isn't there.Theekshana might play in the Pune matches, though.""</p><p><strong>6.42pm</strong> <strong>Shreyas Iyer, Ajinkya Rahane, and Sam Billings have received their maiden KKR caps</strong>.</p><p>KB: ""I agree with @cricdude.Without Conway and mooen, CSK batting will look very weak compared to other teams and they both bring a totally different approach to the game. Conway can drop the anchor at one end and mooen can go bonkers to his Liking and both being lefties is another added advantage.""</p><p>CricDude: ""Conway, Moeen, Maheesh Theekshana will be CSK's first 3 overseas players going forward. Pretorious will be Bravo's back-up. Those who do not put Conway and Maheesh in CSK's 11 do not understand how Dhoni and CSK operate.""</p>
<div class=""embedded-media-card"" data-id=""1103"" data-source=""twitter"" data-url=""https://twitter.com/ESPNcricinfo/status/1507700903792758791""></div>
<p>Dhaval : ""We fans thought we will see Dhoni as a captain for one last season. But he said - DEFINITELY NOT. :(""</p><p>Lakshan: ""Looking forward to an IPL debut for Maheesh Theekshana. Who was the last Sri Lankan to play for CSK in the IPL?"" --- Might've been Kulasekara in 2012</p><p>Tushar: ""Without Deepak Chahar, CSK's bowling looks weakest among the 10 teams. Having said that I was also a part of the group who called them dad's army in 2018, so wont be surprised if top 2 in purple cap race are from CSK.""</p><p><strong>6.22pm</strong> <s>Valimai</s> Update: Moeen Ali will miss this game because of visa delay. However, he has procured the visa and is in India now. He's set to be available for CSK's second match of the season, against Lucknow Super Giants, on March 31. In the absence of Moeen, CSK are likely to hand an IPL debut to NZ batter Devon Conway. Speaking to the franchise's social-media team batting coach Mike Hussey said that he's also looking forward to seeing Conway in the IPL. Head coach Stephen Fleming rates him highly, having worked with him during an <a href=""https://www.espncricinfo.com/story/t20-world-cup-2021-stephen-fleming-to-talk-about-conditions-in-dubai-abu-dhabi-during-his-gig-with-new-zealand-1283446"">NZ preparatory camp</a>, ahead of last year's T20 World Cup in the Emirates.</p><p>Brendon McCullum confirmed on the eve of the game that Tim Southee will be unavailable. The NZ seamer got married earlier this week and joined the squad late. Will KKR replace him with SL Chamika Karunaratne or will they pick an extra Indian seamer in Rasikh Salam Dar?</p><p>Dimkesh: ""Have something to say about one of the lesser discussed players, Umesh Yadav. He must start with the new ball for KKR, and ideally should bowl 3 in the powerplay. He's best with the new ball, and at his best, he can be deadlier than anybody else on the planet.""</p><p>Nandhana: ""Among the uncapped players of KKR, resides another explosive batter - Aman Khan. Pinch hitting is his strength and he brings it out with ease. Here's to hoping that he gets a few games to make a mark.""</p><p><strong>6.10pm</strong> No team starts as favourite, but will the thinner spread of talent compromise the league's competitiveness? Gaurav Sundararaman and Nagraj Gollapudi roll out the <a href=""https://www.espncricinfo.com/story/ipl-2022-what-a-ten-team-four-venue-tournament-might-look-like-1307246"">potential trends and key factors</a> that could have a bearing on the results. Vishal Dikshit tells you <a href=""https://www.espncricinfo.com/story/ipl-2022-faqs-seven-day-isolation-for-positive-tests-25-stadium-attendance-two-reviews-per-team-1307050"">everything you need to know about IPL 2022</a>. CSK's Rajvardhan Hangargekar and KKR's Sheldon Jackson are among the <a href=""https://www.espncricinfo.com/story/ipl-2022-the-uncapped-ones-shahrukh-khan-umran-malik-and-more-1307144"">uncapped players to watch out for this season</a>.</p><p>Vignesh: ""2 new teams, csk defending champions, rcb appointing a new foreign captain, kkr buying a player from delhi and appointing him as captain... folks, we are back to 2011!!!""</p><p>Dipanjan Show: ""KKR Vs CSK is an underrated rivalry, just like KXIP Vs RR. Since CSK's re-introduction to IPL in 2018, they have played 9 Matches. At least 6 of them have been thrillers. I hope this match lives up to the reputation, regardless of the victor (Though I'd want KKR to win).""</p><p><strong>6pm</strong> As many pointed out in the feedback section, Dhoni stepping down as CSK captain marks the end of an era in IPL. We look back at some of <a href=""https://www.espncricinfo.com/story/ipl-2022-csk-the-captain-and-his-coups-five-times-ms-dhoni-scripted-unexpected-wins-for-chennai-super-kings-1307257"">Dhoni's memorable moves as CSK captain</a>. Spoiler alert: The plan to trap Pollard in the 2010 final was laid in a practice game in the lead-up to that season.</p><p>Speaking of Dhoni magic, do you remember <a href=""https://www.espncricinfo.com/story/double-bluffs-and-goof-ups-347657"">how Joginder Sharma and he tricked Laxmi Ratan Shukla</a> in 2008?</p><p>""It was an unusual way to be run-out but credit must go to the Chennai fielders for thinking on their feet. With two balls to go in the innings, Laxmi Ratan Shukla couldn't put away a yorker but Ishant strangely seemed intent to get the strike. Dhoni immediately threw the ball back to the bowler (Joginder Sharma) and Ishant had run too far. The bowler, though, didn't take the bails off immediately and waited for Ishant to start his walk to the pavilion. Once Ishant got into the striker's end, Dhoni spotted Shukla out of the crease and signalled to Joginder to take the bails off. It prompted Parthiv Patel to rush the bowler and urge him to break the stumps. One batsmen misjudged the run but the other had to go.""</p><p>Mustafa Moudi : ""10 years ago these 2 sides clashed in the final where KKR Won and last year they again clashed in the final and CSK won in 2021. Interesting Rivalry to open this season!!""</p><p>Vinay: ""I suspect Sir Jadeja is a good leader. The fact he often needs to be assisted to set fields for his own bowling, is a red flag for me. He could prove me wrong, but having Dhoni to fall back on is a good start nevertheless.""</p>
<div class=""embedded-media-card"" data-id=""1105"" data-source=""twitter"" data-url=""https://twitter.com/ESPNcricinfo/status/1507692712505524226""></div>
<p><strong>5.45pm</strong> <a href=""https://www.espncricinfo.com/story/ipl-2022-kkr-shreyas-iyer-buys-into-kolkata-knight-riders-mindset-and-intensity-as-new-captain-1306462"">Shreyas Iyer has embraced</a> KKR's explosive brand of cricket, which recently saw them surge to the IPL 2021 final, despite putting together just two wins in their first seven games. Their head coach Brendon McCullum embodied a similar attack-first approach when he captained New Zealand to the 2015 World Cup final.</p><p><h2>Team previews</strong></h2></p><p><strong>CSK</strong>: <a href=""https://www.espncricinfo.com/story/ipl-2022-chennai-super-kings-absence-of-deepak-chahar-could-give-jadeja-led-csk-a-selection-headache-1306603"">Absence of Chahar could give CSK selection headache</a><br></p><p><strong>KKR</strong>: <a href=""https://www.espncricinfo.com/story/ipl-2022-team-preview-kolkata-knight-riders-bank-on-iyer-power-1306865"">Knight Riders bank on Iyer power</a></p><p>sivaramakrishna: ""As ardent fan of CSK Dhoni stepping down as captain put me under withdrawal symptoms. It will take some time to rehab myself ""</p><p>Bouncer Avenue : ""Narine must open for KKR along with Venky as he has been quite successful with Lynn, who is aggressive opener and his weakness only came when paired up with Gill, who is a defensive opener. Since Venky is an aggressive opener, Narine would be apt for opening, also considering the fact that he has overcome his trouble against bouncers too. Plus, <a href=""https://www.espncricinfo.com/story/ipl-2022-withdrawals-injuries-national-duty-team-wise-player-availability-1307136"">Finch isn't available yet</a>.""</p><p><b>5.35pm</b> Four venues. Ten teams. Seventy league-stage matches. Multiple new leaders. Two of those new leaders - Chennai Super Kings' Ravindra Jadeja and Kolkata Knight Riders' Shreyas Iyer - will kick off IPL 2022 at the Wankhede Stadium later this evening.</p><p>Regan Jeya Anto: ""CSK should give Gaikwad VC opportunity in the longer run so that Gaikwad will be ready to lead for another 7-10 years after Jadeja retires.""</p><p>Mustafa Moudi : ""Dont think Dhoni's Stepping down as the captain was the last moment decision. The fact that Jadeja is being paid higher than Dhoni suggest that Dhoni had conveyed his decision was long ago but his love of giving surprises (like his test retirement, Captaincy Stepping down and International retirement). Its sad that the only captain left from the inaugural season,has left the post too !!"" --- Indeed, CSK's CEO <a href=""https://www.espncricinfo.com/story/ipl-2022-chennai-super-kings-ravindra-jadeja-to-lead-csk-after-ms-dhoni-decides-to-step-down-1307102"">Kasi Viswanathan told ESPNcricinfo</a> that the team management had discussed the succession plan even before the 2021 IPL</p><p>The <em>only</em> time Dhoni has represented Super Kings strictly as a player was in 2012, in a dead-rubber Champions League T20 game <a href=""https://www.espncricinfo.com/series/champions-league-twenty20-2012-13-566250/chennai-super-kings-vs-yorkshire-group-b-574268/full-scorecard"">against Yorkshire</a>. Suresh Raina captained CSK in that game where Dhoni even rolled his arm over. Both Super Kings and Knight Riders will have to contend with the absence of some first-choice players. I'm Deivarayan Muthu and I'll be joined by Shashank Kishore to bring you all the action from the tournament opener. <a href=""https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/chennai-super-kings-vs-kolkata-knight-riders-1st-match-1304047/match-preview"">The preview</a>, by yours truly, should be your first stop here.</p>",
140,2022,1304047,CSK v KKR,CSK,KKR,CSK,1,1,2,0,"Yadav to Gaikwad, no run",False,False,False,1060380,Ruturaj Gaikwad,0,3,376116,Umesh Yadav,0.2,0,2,0,379140,Devon Conway,0,0,,,,,,,,,,,,,False,"terrific delivery. Bolt upright seam to land it on a length, gets it to jag back in to beat Gaikwad's inside edge. Hits him high on the right thigh and rolls to the keeper.",,
130,2022,1304047,CSK v KKR,CSK,KKR,CSK,1,1,2,1,"Yadav to Gaikwad, 1 wide",False,True,False,1060380,Ruturaj Gaikwad,0,2,376116,Umesh Yadav,0.1,0,2,0,379140,Devon Conway,0,0,,,,,,,,,,,,,False,"slips this back of a length delivery down leg, good take by Sheldon Jackson moving to his left",,
150,2022,1304047,CSK v KKR,CSK,KKR,CSK,1,1,3,0,"Yadav to Gaikwad, OUT",False,False,False,1060380,Ruturaj Gaikwad,0,4,376116,Umesh Yadav,0.3,0,2,1,379140,Devon Conway,0,0,,,,,,,1060380.0,Ruturaj Gaikwad,Umesh Yadav,0.0,4.0,RD Gaikwad c Rana b Yadav 0 (5m 4b 0x4 0x6) SR: 0.00,False,"<b> edged and taken at slip! </b> Uncharacteristic from Gaikwad as he throws his bat at this short and wide delivery, the edge flies and Nitish Rana pouches an excellent catch with his palms facing upwards.",,
170,2022,1304047,CSK v KKR,CSK,KKR,CSK,1,1,4,0,"Yadav to Uthappa, no run",False,False,False,35582,Robin Uthappa,0,1,376116,Umesh Yadav,0.4,0,3,1,379140,Devon Conway,0,0,,,,,,,,,,,,,False,"ah, so lovely! Lures Uthappa into a drive as he bowls a banana swinger away, beaten.",,
160,2022,1304047,CSK v KKR,CSK,KKR,CSK,1,1,4,1,"Yadav to Uthappa, 1 wide",False,True,False,35582,Robin Uthappa,0,0,376116,Umesh Yadav,0.3,0,3,1,379140,Devon Conway,0,0,,,,,,,,,,,,,False,full but this one nips back in to beat the pad down leg. Wide called,<p>Out comes Robin Uthappa at No. 3.</p>,
180,2022,1304047,CSK v KKR,CSK,KKR,CSK,1,1,5,0,"Yadav to Uthappa, no run",False,False,False,35582,Robin Uthappa,0,2,376116,Umesh Yadav,0.5,0,3,1,379140,Devon Conway,0,0,,,,,,,,,,,,,False,"zippy length ball on middle, Uthappa is solid in defence this time",,<p>Umesh has bowled in the mid to high 130 clicks in the over so far.</p>
190,2022,1304047,CSK v KKR,CSK,KKR,CSK,1,1,6,0,"Yadav to Uthappa, no run",False,False,False,35582,Robin Uthappa,0,3,376116,Umesh Yadav,1.0,0,3,1,379140,Devon Conway,0,0,,,,,,,,,,,,,False,"gently taps it with soft hands, wants a single but Conway isn't keen. This went towards a short cover point fielder, Rahane and Shreyas Iyer swooped in quickly",,
11010,2022,1304047,CSK v KKR,CSK,KKR,CSK,1,2,1,0,"Shivam Mavi to Conway, no run",False,False,False,379140,Devon Conway,0,1,1079848,Shivam Mavi,0.1,0,0,0,35582,Robin Uthappa,0,3,376116.0,Umesh Yadav,1.0,0.0,3.0,1.0,,,,,,,False,"slants a short of length delivery across the left-hander, tapped to the off side","<p>Navin: ""Who would have thought few years back that Robbie and Rayudu would still be playing IPL when the likes of Yuvi, Raina are not!! Guess only Robbie, MS and DK who played the first ever T20 of India are still playing IPL."" -- So many mentors from that squad. Can think of two already. Gambhir and Agarkar.</p><p>Here's Mavi</p>",
